"Category","Term","Hits","Hit Rate (n=50)"
"Geology","San Andreas Fault","73","146%"
"Geology","tectonic","9","18%"
"Geology","fault","111","222%"
"Mechanism","fires","96","192%"
"Mechanism","gas lines","33","66%"
"Mechanism","water","87","174%"
"Impact","destroyed","52","104%"
"Impact","damage","51","102%"
"Impact","homeless","43","86%"
"Reconstruction","building codes","75","150%"
"Reconstruction","rebuilding","63","126%"
"Reconstruction","urban planning","45","90%"
"Reconstruction","infrastructure","99","198%"
"Geography","San Francisco","322","644%"
"Geography","Bay Area","36","72%"
"Geography","Oakland","15","30%"
"Geography","Berkeley","2","4%"
"Institution","USGS","0","0%"
"Institution","government","0","0%"
"Institution","military","0","0%"
"Institution","agency","0","0%"
